--relative value--,0,0,0,0,0,0,0,0
--male--,18.5,18.5-24.9,25.0-29.9,30,0,0,0,0
20-39,<8%,8%-19%,20%-24%,>25%,bfm20-39_18.5-t.png,bfm20-39_18.5-24.9t.png,bfm20-39_25-29.9t.png,bfm20-39_30+t.png
40-59,<11%,11%-21%,22%-27%,>28%,bfm40-59_18.5-t.png,bfm40-59_18.5-24.9t.png,bfm40-59_25-29.9t.png,bfm40-59_30+t.png
60-79,<13%,13%-24%,25%-29%,>30%,bfm60-79_18.5t.png,bfm60-79_18.5-24.9t.png,bfm60-79_25-29.9t.png,bfm60-79_30+t.png
--female--,18.5,18.5-24.9,25.0-29.9,30,0,0,0,0
20-39,<21%,21%-32%,33%-38%,>=39%,bff20-39_18.5-t.png,bff20-39_18.5-24.9t.png,bff20-39_25-29.9t.png,bff20-39_30+t.png
40-59,<23%,23%-33%,34%-39%,>=40%,bff40-59_18.5-t.png,bff40-59_18.5-24.9t.png,bff40-59_25-29.9t.png,bff40-59_30+t.png
60-79,<24%,24%-35%,36%-41%,>=42%,bff60-79_18.5-t.png,bff60-79_18.5-24.9t.png,bff60-79_25-29.9t.png,bff60-79_30+t.png
